qa_id,question,answer,category,subcategory,source_type,source_record_id,source_id,source_url,source_page,entity,stability_tag,verification_status,notes
QA001,What is Mahindra University's tagline?,The tagline on the site is 'Global Thinkers. Engaged Leaders.',About,Overview,website,MU-001,SRC-W-01,https://www.mahindrauniversity.edu.in/about-us/,About Us - Mahindra University (MU),Mahindra University,Stable,Pending,
QA002,How does Mahindra University describe itself?,"It blends academic rigour, research and global exposure. The About page describes re-imagining growth-oriented education to empower global thinkers and engaged leaders through experiential learning, interdisciplinary research and real-world impact, and describes a green campus in Hyderabad with the spirit of 'Accepting No Limits'.",About,Overview,website,MU-001,SRC-W-01,https://www.mahindrauniversity.edu.in/about-us/,About Us - Mahindra University (MU),Mahindra University,Stable,Pending,
QA003,Where is Mahindra University located?,"Mahindra University, Survey No: 62/1A, Bahadurpally, Jeedimetla, Hyderabad - 500043, Telangana, India.",Campus & Facilities,Campus,website,MU-092; MU-001,SRC-W-09; SRC-W-01,https://www.mahindrauniversity.edu.in/contact-us/; https://www.mahindrauniversity.edu.in/about-us/,Contact Us - Mahindra University (MU); About Us - Mahindra University (MU),Mahindra University campus,Stable,Pending,
QA004,How can I contact Mahindra University?,"Landline 040-67135100; mobile +91 9618592999; WhatsApp 9121314154; alternative email info@mahindrauniversity.edu.in. The page also labels mahindrauni.hyd@gmail.com as the general enquiries email, but that link's mailto target is admissions@mahindrauniversity.edu.in.",Contact,General,website,MU-181,SRC-W-09,https://www.mahindrauniversity.edu.in/contact-us/,Contact Us - Mahindra University (MU),Mahindra University general contact,Changes each term,Pending,
QA005,Is there a virtual tour of the Mahindra University campus?,Yes. The site provides a Google Maps link and a 360-degree virtual campus tour: https://www.mahindrauniversity.edu.in/sites/virtual-tour-of-mu-campus.html,Campus & Facilities,Campus,website,MU-092,SRC-W-09,https://www.mahindrauniversity.edu.in/contact-us/,Contact Us - Mahindra University (MU),Campus virtual tour,Stable,Pending,
QA006,How many students does Mahindra University have?,The homepage key figures state 6000+ students.,About,Overview,website,MU-002,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,Mahindra University key figures,Changes each term,Pending,
QA007,What key figures does the Mahindra University homepage show?,"6000+ students, 4000+ placements to date, 400+ companies, 350+ faculty and 1500+ publications.",About,Overview,website,MU-002,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,Mahindra University key figures,Changes each term,Pending,
QA008,How many faculty members does Mahindra University have?,The homepage states 350+ faculty. A Faculty Directory / Expertise Finder page exists at https://www.mahindrauniversity.edu.in/faculties/.,About,Faculty,website,MU-009; MU-002,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,Faculty,Changes each term,Pending,Individual faculty records are not in the source (directory not extracted).
QA009,How many recruiters does Mahindra University have?,"The website gives different figures: the homepage shows 400+ recruiters, while the About Us page shows 100+ recruiters for the same statistic.",Placements & Careers,Overview,website,MU-166; MU-002,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,Recruiters,Changes each term,Pending,"Conflict preserved, not resolved."
QA010,What is Mahindra University's placement record?,"The homepage states 4000+ placements to date, 400+ companies and 250+ graduate acceptances for advanced study.",Placements & Careers,Overview,website,MU-166,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,Placements,Changes each term,Pending,
QA011,What sets Mahindra University apart?,"Four differentiators are listed: global collaboration (partnerships with international institutions to co-design globally benchmarked programmes), interdisciplinary excellence (integrating engineering, management, law, design and the humanities), industry-aligned learning (internships, live projects and incubation opportunities), and research and societal impact (applied research, patents and partnerships).",About,Overview,website,MU-003,SRC-W-01,https://www.mahindrauniversity.edu.in/about-us/,About Us - Mahindra University (MU),Mahindra University,Stable,Pending,
QA012,What are Mahindra University's four pillars?,"Academic excellence, Student empowerment, Innovation ecosystem, and Inclusive excellence.",About,Overview,website,MU-004,SRC-W-01,https://www.mahindrauniversity.edu.in/about-us/,About Us - Mahindra University (MU),Mahindra University,Stable,Pending,
QA013,Who is the Chancellor of Mahindra University?,"Anand Mahindra, Chairman of the Mahindra Group, is the Chancellor.",About,Leadership,website,MU-005,SRC-W-01,https://www.mahindrauniversity.edu.in/about-us/,About Us - Mahindra University (MU),Chancellor,Changes each term,Pending,
QA014,Who is the Vice-Chancellor of Mahindra University?,"Dr. Yajulu Medury is the Vice-Chancellor and founding vice-chancellor of Mahindra University, with over three decades of experience in higher education, research and institutional management.",About,Leadership,website,MU-006,SRC-W-01,https://www.mahindrauniversity.edu.in/about-us/,About Us - Mahindra University (MU),Vice-Chancellor,Changes each term,Pending,
QA015,What leadership and governance pages does the Mahindra University website have?,"The site has pages for Founding team, Leadership, Governing Body, Board of Management and Academic Council.",About,Leadership,website,MU-007,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,University leadership and governance,Stable,Pending,
QA016,How many global academic partners does Mahindra University have?,"The About Us page states 20+ global academic partners (exchanges, dual degrees, joint research) and 250+ graduate acceptances for advanced studies at universities worldwide.",About,Partnerships,website,MU-008; MU-002,SRC-W-01; SRC-W-02,https://www.mahindrauniversity.edu.in/about-us/; https://www.mahindrauniversity.edu.in/,About Us - Mahindra University (MU); Mahindra University: Best Private University in Hyderabad,Global academic partnerships,Changes each term,Pending,
QA017,What schools are part of Mahindra University?,Mahindra University has seven schools: Ecole Centrale School of Engineering; Indira Mahindra School of Education; School of Design Innovation; School of Digital Media and Communication; School of Hospitality Management; School of Law; School of Management.,Academics,Schools,website,MU-011,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,Schools at Mahindra University,Stable,Pending,Answer keeps the source spelling 'Ecole' from MU-011; MU-012 spells it 'École'.
QA018,What programmes does the School of Law offer?,The source does not say. It lists the School of Law as one of the seven schools and notes that programme-to-school mapping is not stated on the pages accessed.,Academics,Schools,website,MU-017; MU-011,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,School of Law,Stable,Pending,Abstention-type answer: the source explicitly states the school-to-programme mapping is unavailable. Do not infer the mapping from programme names.
