entity_group,overlap_type,campus_map_labels,campus_map_record_ids,website_record_ids,website_titles,relationship
École Centrale School of Engineering,clear,École Centrale School of Engineering,MAP-001; MAP-018,MU-012,École Centrale School of Engineering,Same school named in both sources. Website: school listing/page; campus map: label and directional sign.
Schools,clear,Schools,MAP-013,MU-011; MU-013; MU-014; MU-015; MU-016; MU-017; MU-018,Schools at Mahindra University; Indira Mahindra School of Education; School of Design Innovation; School of Digital Media and Communication; School of Hospitality Management; School of Law; School of Management,"Website lists the seven schools (MU-011 overview, MU-012 to MU-018 individual schools; MU-012 is linked under the École Centrale group). Campus map has one generic 'Schools' directional sign."
Hostels / residences,clear,"Hostels; Hostel 5; Hostel 1, 2, 3, 4",MAP-004; MAP-012; MAP-019,MU-099; MU-100; MU-101; MU-102,Student residences (hostels) overview; Residence features and facilities; Residence safety and wellbeing; Residential guidelines and orientation,"Website describes residences generally and states individual hostel names are not listed (MU-099). Campus map shows Hostels, Hostel 5, and Hostel 1, 2, 3, 4. Complementary."
Guest House,clear,Guest House,MAP-005; MAP-014,MU-105,Guest and faculty dining,Website mentions the university guesthouse only in the context of guest/faculty dining; campus map shows label and directional sign.
Soccer Field,partial,Soccer Field,MAP-006,MU-106,Outdoor sports grounds,"Map says 'Soccer Field'; website says grounds for 'football'. Linking them requires assuming soccer = football, so this is marked partial and not merged."
Health Care Centre,partial,Health Care Centre,MAP-011,MU-101,Residence safety and wellbeing,Website only mentions 'access to campus health and support services' (inside the residence safety record); no dedicated health-centre record. Map has a directional sign.
Academic Block,partial,Academic Block,MAP-002; MAP-015,MU-103,Student mess,Website mentions 'academic blocks' only as a generic reference point for the student mess location; no named block.
Vineet Nayyar Academic Block,partial_conflict,Vineet Nayyar Academic Block,MAP-003; MAP-017,MU-093,Vineet Nayyar Learning Resource Centre (VNLRC) - library overview,Name matches website 'Vineet Nayyar Learning Resource Centre (VNLRC)' but building type differs. Not confirmed to be the same building; see combined_conflicts_review.csv.
Convention Centre / Center,campus_map_only,Convention Centre; Convention Center,MAP-007; MAP-016,,,No matching entity found in the website dataset. Website MU-092 states no campus map with building names was found on the pages accessed.
NCC Office,campus_map_only,NCC Office,MAP-008,,,No matching entity found in the website dataset. Website MU-092 states no campus map with building names was found on the pages accessed.
Infra Office,campus_map_only,Infra Office,MAP-009,,,No matching entity found in the website dataset. Website MU-092 states no campus map with building names was found on the pages accessed.
Main Gate,campus_map_only,Main Gate,MAP-010,,,No matching entity found in the website dataset. Website MU-092 states no campus map with building names was found on the pages accessed.
