qa_id,source_record_id,issue_type,issue_description,recommended_action
QA004,MU-181,conflicting_source_information,"The page labels mahindrauni.hyd@gmail.com as the general enquiries email, while the link's mailto target is admissions@mahindrauniversity.edu.in; the source shows both as displayed.",Confirm which email is the intended general enquiries address before verification.
QA005,MU-092,incomplete_source_information,The tour is an embedded third-party 360-degree tour; the source could not extract any text or building names from it.,No action unless building names from the tour are needed.
QA006,MU-002,outdated_or_time_sensitive_information,Key figures are figures as displayed on the website at collection time and can change.,Re-check against the current website before verification.
QA007,MU-002,outdated_or_time_sensitive_information,Key figures are figures as displayed on the website at collection time and can change.,Re-check against the current website before verification.
QA008,MU-009; MU-002,outdated_or_time_sensitive_information,Faculty figures are figures as displayed on the website at collection time and can change.,Re-check against the current website before verification.
QA009,MU-166; MU-002,conflicting_source_information,Homepage shows 400+ recruiters; About Us page shows 100+ recruiters for the same section. The source records that figures differ between pages.,Verify the correct current figure with the university; keep both until resolved.
QA010,MU-166,outdated_or_time_sensitive_information,Placement figures are figures as displayed on the website at collection time and can change.,Re-check against the current website before verification.
QA015,MU-007,incomplete_source_information,Only page names are recorded; the contents of these pages were not extracted.,Do not use this Q&A to answer who sits on these bodies.
QA016,MU-008; MU-002,outdated_or_time_sensitive_information,Partnership figures are figures as displayed on the website at collection time and can change.,Re-check against the current website before verification.
QA017,MU-011,source_name_inconsistency,'Ecole' (MU-011) vs 'École' (MU-012) spelling of the school name within the website records.,Confirm the official spelling.
QA018,MU-017; MU-011,incomplete_source_information,Programme-to-school mapping is not stated in the source (MU-012 to MU-018).,Add the mapping in the source dataset first if programme-by-school Q&As are wanted.
QA020,MU-020; MU-165,incomplete_source_information,The centre's own page content was not extracted; only the homepage description is available.,None required; do not add detail beyond the homepage description.
QA021,MU-027,incomplete_source_information,Only a news headline is available; no description of the centre's role.,Verify the centre's description before human sign-off.
QA023,MU-061; MU-062; MU-063,incomplete_source_information,The page contents for Executive Education and Working Professional Programmes were not extracted.,None required; answer states only what is listed.
QA026,MU-052,incomplete_source_information,Source is the site-wide 2026 admissions pop-up; individual Ph.D. programme pages were not extracted.,None required; answer limited to the listed areas.
QA030,MU-065,incomplete_source_information,"The page has a 'Load More' control, so additional specialisations may exist that were not in the extracted text.",Treat the list as possibly incomplete; verify against the live page.
QA052,MU-080,outdated_or_time_sensitive_information,Admissions cycle information (2026) from a site-wide pop-up.,Re-check against the current admissions page.
QA053,MU-080,outdated_or_time_sensitive_information,Admissions-cycle link from a site-wide pop-up.,Re-check that the link is current.
QA054,MU-081,incomplete_source_information,The PDFs were not read; only their titles are recorded.,Do not answer questions about their contents from this record.
QA055,MU-082,incomplete_source_information,The page does not state whether the amounts are per year or for the full programme.,Confirm the fee period with the university; the answer does not state one.
QA055,MU-082,outdated_or_time_sensitive_information,Fees are stated to be subject to annual revision.,Re-check against the current fee structure.
QA056,MU-083,incomplete_source_information,The page does not state whether the amounts are per year or for the full programme.,Confirm the fee period; the answer does not state one.
QA056,MU-083,source_name_inconsistency,The fee record uses 'PIO/NRI' while the eligibility record (MU-085) uses 'POI/NRI'.,Confirm the correct category name.
QA058,MU-084,outdated_or_time_sensitive_information,Refers to JEE (Main) 2026 and the 2026 admissions cycle.,Re-check for the current cycle.
QA059,MU-085,source_name_inconsistency,The record title says 'POI/NRI' while the fee record (MU-083) says 'PIO/NRI'.,Confirm the correct category name.
QA061,MU-086,unclear_entity_matching,"'BBA (Applied Economics & Finance)' and 'BBA (Computational Business Analytics)' do not appear in the undergraduate programme list (MU-028), which lists 'BBA' and 'BBA in Entrepreneurship & Family Business'.",Confirm whether these are specialisations of BBA or separate programmes.
QA062,MU-087,outdated_or_time_sensitive_information,"The stated deadline (30 August 2026) is earlier than the date this draft was produced (22 September 2026), so it may no longer apply to the current cycle.",Verify whether the requirement and deadline still apply before including in the test set.
QA064,MU-089,outdated_or_time_sensitive_information,Scholarship policy is stated as modifiable by the university and tied to a specific admission cycle.,Re-check against the current scholarship document.
QA065,MU-090,outdated_or_time_sensitive_information,Taken from a site-wide 2026 admissions pop-up.,Re-check against the current admissions information.
QA066,MU-091,incomplete_source_information,Contents of these pages were not extracted.,Answer only points to the pages; do not add calendar dates or fee amounts.
QA067,MU-182,incomplete_source_information,The physical location of the admissions office is not stated in the source.,Do not answer location questions for the admissions office.
QA069,MU-184,incomplete_source_information,The number '+91 981134637' is recorded 'as displayed' and has fewer digits than the other numbers listed; it may be incomplete on the page.,Verify this number against the live page.
QA071,MU-187,individual_contact_information,"Names a specific staff member with a mobile number, as published on the official website.",Confirm the project is comfortable including named staff contact details.
QA072,MU-188,individual_contact_information,"Names staff members with mobile numbers, as published on the official website.",Confirm the project is comfortable including named staff contact details.
QA076,MU-093,unclear_entity_matching,"The campus map has a 'Vineet Nayyar Academic Block' (MAP-003, MAP-017). The names match but the building types differ; the sources do not say whether they are the same building.",Confirm with the university; see combined_conflicts_review.csv from the source stage.
QA078,MU-094,outdated_or_time_sensitive_information,Collection figures are figures as displayed on the website at collection time and can change.,Re-check against the current website before verification.
QA080,MU-096,incomplete_source_information,'SOL' is not expanded on the page.,Confirm what SOL refers to before human sign-off.
QA080,MU-096,outdated_or_time_sensitive_information,Opening hours can change.,Re-check against the current library page.
QA083,MU-099; MAP-004; MAP-012; MAP-019,ambiguous_campus_map_information,"MAP-004 notes 'numbering verify'; the map shows Hostel 5 and Hostel 1, 2, 3, 4 but the source does not confirm the total number of hostels.",Confirm hostel names and numbering with the university.
QA083,MU-099; MAP-004; MAP-012; MAP-019,unverified_campus_map_source,All campus-map source records are marked pending_university_confirmation.,Confirm the map information with the university before human sign-off.
QA085,MU-101,incomplete_source_information,The Campus Safety page was not extracted.,None required.
QA085,MU-101,unclear_entity_matching,The 'campus health and support services' mention may relate to the campus map's Health Care Centre (MAP-011) but the source does not link them.,Do not merge the two without confirmation.
QA090,MU-105; MAP-005; MAP-014,ambiguous_campus_map_information,"The source records the sign text only (direction and minutes 'from sign'); the sign's own position, the travel mode and the destination's exact location are not recorded.","Do not add directions, distances or walking times beyond the recorded sign text; confirm with the university or a site visit."
QA090,MU-105; MAP-005; MAP-014,unverified_campus_map_source,All campus-map source records are marked pending_university_confirmation.,Confirm the map information with the university before human sign-off.
QA099,MU-114,conflicting_source_information,The '75+' (homepage) and '40+' (Student Clubs page) figures differ on the site; the page itself lists 48 entries.,Verify the current club count with the university; keep the context until resolved.
QA108,MU-123,unclear_entity_matching,"The source page lists 'BAJA SAE Team' separately from 'SAE BAJA Division (MU-154)'; the two may be the same club, but the source does not say.",Confirm whether these are one club or two; keep both Q&As until resolved.
QA111,MU-126,unclear_entity_matching,"The source page lists 'Community Service Club (Outreach)' separately from 'Outreach & Social Impact Club (MU-149)'; the two may be the same club, but the source does not say.",Confirm whether these are one club or two; keep both Q&As until resolved.
QA112,MU-127,unclear_entity_matching,"The source page lists 'Cyber Security Club (Secret Garden)' separately from 'Secret Garden - Cybersecurity Club (MU-155)'; the two may be the same club, but the source does not say.",Confirm whether these are one club or two; keep both Q&As until resolved.
QA114,MU-129,unclear_entity_matching,"The source page lists 'Debate & Literary Club (Erudite)' separately from 'Literary Society - The Erudite Club (MU-141)'; the two may be the same club, but the source does not say.",Confirm whether these are one club or two; keep both Q&As until resolved.
QA117,MU-132,unclear_entity_matching,The homepage describes a 'student-led E-Cell' (MU-165); the source does not say whether this is the same as the 'Entrepreneurship & Innovation Cell (EIC)'.,Confirm before linking the two.
QA126,MU-141,unclear_entity_matching,"The source page lists 'Literary Society - The Erudite Club' separately from 'Debate & Literary Club (Erudite) (MU-129)'; the two may be the same club, but the source does not say.",Confirm whether these are one club or two; keep both Q&As until resolved.
QA134,MU-149,unclear_entity_matching,"The source page lists 'Outreach & Social Impact Club' separately from 'Community Service Club (Outreach) (MU-126)'; the two may be the same club, but the source does not say.",Confirm whether these are one club or two; keep both Q&As until resolved.
QA139,MU-154,unclear_entity_matching,"The source page lists 'SAE BAJA Division' separately from 'BAJA SAE Team (MU-123)'; the two may be the same club, but the source does not say.",Confirm whether these are one club or two; keep both Q&As until resolved.
QA140,MU-155,unclear_entity_matching,"The source page lists 'Secret Garden - Cybersecurity Club' separately from 'Cyber Security Club (Secret Garden) (MU-127)'; the two may be the same club, but the source does not say.",Confirm whether these are one club or two; keep both Q&As until resolved.
QA148,MU-163,outdated_or_time_sensitive_information,Research figures are figures as displayed on the website at collection time and can change.,Re-check against the current website before verification.
QA149,MU-164,incomplete_source_information,Page contents were not extracted; only section names are recorded.,Do not use this Q&A to answer questions about lab or patent details.
QA150,MU-168,outdated_or_time_sensitive_information,The event dates (19-22 August 2026) are earlier than the date this draft was produced (22 September 2026).,Confirm whether to keep past events in the dataset.
QA151,MU-169,outdated_or_time_sensitive_information,The card date has no year in the source.,Confirm the year before verification.
QA152,MU-170,outdated_or_time_sensitive_information,The card date has no year in the source.,Confirm the year before verification.
QA152,MU-170,unclear_entity_matching,"The organiser is named 'MU-VT Interdisciplinary Advanced Research Center for Transformative Technologies (IARCT2)' here, while the centre list (MU-024) uses 'MU-VT Centre for Interdisciplinary Research in Transformative Technologies'.",Confirm whether these are the same centre.
QA153,MU-171; MU-116,outdated_or_time_sensitive_information,The card date has no year in the source.,Confirm the year before verification.
QA153,MU-171; MU-116,source_name_inconsistency,AIRO is called an 'inter-collegiate sports fest' (MU-171) and an 'annual multi-sport event' (MU-112); the wording differs.,Confirm the preferred description.
QA154,MU-172,conflicting_source_information,"The card shows a date of 15 Dec but the card text gives June 23-27, 2025; the source records that the dates differ.",Verify the event dates; do not choose one until confirmed.
QA155,MU-173,outdated_or_time_sensitive_information,The card date has no year in the source.,Confirm the year before verification.
QA156,MU-174,incomplete_source_information,No dates are recorded for this event.,Add dates from the source if date questions are wanted.
QA157,MU-175,incomplete_source_information,No description or dates are recorded for this event.,Add details from the source if wanted.
