category,source_type,source_records,qa_pairs_created,important_topics_without_qa,notes
About,website,10,13,"Governance page contents, mission/purpose pages (not extracted in source).",9 of 10 source records are cited by at least one Q&A. Not individually cited: MU-010 (Page links only ('Our purpose'/'Our mission'); contents not extracted.)
Academics,website,69,36,"Programme-to-school mapping (not in source); individual Ph.D. area, B.Tech specialisation and centre pages (only names listed).","36 of 69 source records are cited by at least one Q&A. Not individually cited: MU-013 to MU-016, MU-018 (Individual school record only states membership of the seven schools; covered by the schools-list Q&A.) | MU-021 to MU-026 (Centre listed only; covered by the centres-list Q&A.) | MU-053 to MU-060 (Ph.D. area listed only; covered by the Ph.D.-areas Q&A.) | MU-066 to MU-079 (B.Tech specialisation listed only; covered by the specialisations-list Q&A.)"
Admissions,website,12,16,"Contents of PDFs (notifications, brochure, code of conduct) and important-dates pages; not in source.",12 of 12 source records are cited by at least one Q&A.
Campus & Facilities,website,22,26,Library staff names; individual hostel/block names and building locations (not in source).,21 of 22 source records are cited by at least one Q&A. Not individually cited: MU-098 (Library staff names/roles; not converted to Q&A pending a decision on including named staff.)
Student Life,website,49,50,None; each club listed has a Q&A. Club-pair duplicates are flagged.,49 of 49 source records are cited by at least one Q&A.
Research & Innovation,website,3,3,"Research lab, patent and consultancy details (not extracted).",3 of 3 source records are cited by at least one Q&A.
Placements & Careers,website,2,3,Placement statistics beyond homepage figures; internships and placement pages not extracted.,2 of 2 source records are cited by at least one Q&A.
Events & News,website,13,13,Event dates for several events lack a year; news articles are headline-only.,13 of 13 source records are cited by at least one Q&A.
Contact,website,10,10,Physical location of the admissions office (not in source).,10 of 10 source records are cited by at least one Q&A.
academic,campus_map,3,4,None; all records cited.,3 of 3 source records are cited by at least one Q&A. Category is the campus-map category as recorded in the source. A Q&A citing records in several categories is counted in each; the 3 multi-source Q&As are also counted under website rows.
residential,campus_map,2,3,None; all records cited.,2 of 2 source records are cited by at least one Q&A. Category is the campus-map category as recorded in the source. A Q&A citing records in several categories is counted in each; the 3 multi-source Q&As are also counted under website rows.
sports,campus_map,1,2,None; all records cited.,1 of 1 source records are cited by at least one Q&A. Category is the campus-map category as recorded in the source. A Q&A citing records in several categories is counted in each; the 3 multi-source Q&As are also counted under website rows.
utility,campus_map,3,4,None; all records cited.,3 of 3 source records are cited by at least one Q&A. Category is the campus-map category as recorded in the source. A Q&A citing records in several categories is counted in each; the 3 multi-source Q&As are also counted under website rows.
wayfinding,campus_map,10,12,None; all records cited.,10 of 10 source records are cited by at least one Q&A. Category is the campus-map category as recorded in the source. A Q&A citing records in several categories is counted in each; the 3 multi-source Q&As are also counted under website rows.
