knowledge_id,source_type,category,subcategory,entity,title,description,details,location,school_department,program,eligibility,fees,contact,source_id,source_url,source_page,original_record_id,verification_status,notes,entity_group
KN-0001,website,About,Overview,Mahindra University overview,Mahindra University overview,"Mahindra University blends academic rigour, research and global exposure. Tagline on the site: 'Global Thinkers. Engaged Leaders.'","The About page describes re-imagining growth-oriented education to empower global thinkers and engaged leaders through experiential learning, interdisciplinary research and real-world impact. Campus is described as a green campus in Hyderabad with the spirit of 'Accepting No Limits'.","Mahindra University, Survey No: 62/1A, Bahadurpally, Jeedimetla, Hyderabad - 500043, Telangana, India",,,,,,SRC-W-01,https://www.mahindrauniversity.edu.in/about-us/,About Us - Mahindra University (MU),MU-001,,,
KN-0002,website,About,Overview,University at a glance - key figures,University at a glance - key figures,"Homepage key figures: 6000+ students, 4000+ placements to date, 400+ companies, 350+ faculty, 1500+ publications.","Figures are as displayed on the homepage. The About Us page separately shows 250+ graduate acceptances, 100+ recruiters and 20+ global academic partners; the homepage shows 400+ recruiters for the same section (figures differ between pages).",,,,,,,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,MU-002,,,
KN-0003,website,About,Overview,What sets Mahindra University apart,What sets Mahindra University apart,"Four differentiators listed: global collaboration, interdisciplinary excellence, industry-aligned learning, and research and societal impact.","Global collaboration: partnerships with international institutions to co-design globally benchmarked programmes. Interdisciplinary excellence: integrates engineering, management, law, design and the humanities. Industry-aligned learning: internships, live projects and incubation opportunities. Research & societal impact: applied research, patents and partnerships.",,,,,,,SRC-W-01,https://www.mahindrauniversity.edu.in/about-us/,About Us - Mahindra University (MU),MU-003,,,
KN-0004,website,About,Overview,Our pillars,Our pillars,"Four pillars: Academic excellence, Student empowerment, Innovation ecosystem, Inclusive excellence.","Academic excellence: world-class faculty, globally-relevant curricula, high-impact research. Student empowerment: hands-on learning, leadership opportunities, career-focused support. Innovation ecosystem: lab infrastructure, start-up culture, industry collaborations. Inclusive excellence: culture of diversity, ethics and sustainability.",,,,,,,SRC-W-01,https://www.mahindrauniversity.edu.in/about-us/,About Us - Mahindra University (MU),MU-004,,,
KN-0005,website,About,Leadership,Chancellor - Anand Mahindra,Chancellor - Anand Mahindra,"Anand Mahindra, Chairman of the Mahindra Group, is the Chancellor of Mahindra University.",Profile page: https://www.mahindrauniversity.edu.in/about-anand-mahindra/,,,,,,,SRC-W-01,https://www.mahindrauniversity.edu.in/about-us/,About Us - Mahindra University (MU),MU-005,,,
KN-0006,website,About,Leadership,Vice-Chancellor - Dr. Yajulu Medury,Vice-Chancellor - Dr. Yajulu Medury,"Dr. Yajulu Medury is the Vice-Chancellor and founding vice-chancellor of Mahindra University, with over three decades of experience in higher education, research and institutional management.",Profile page: https://www.mahindrauniversity.edu.in/about-vice-chancellor/,,,,,,,SRC-W-01,https://www.mahindrauniversity.edu.in/about-us/,About Us - Mahindra University (MU),MU-006,,,
KN-0007,website,About,Leadership,University leadership and governance pages,University leadership and governance pages,"The site has pages for Founding team, Leadership, Governing Body, Board of Management and Academic Council.",URLs: https://www.mahindrauniversity.edu.in/about-us/founding-team/ ; https://www.mahindrauniversity.edu.in/about-us/leadership/ ; https://www.mahindrauniversity.edu.in/about-us/governing-body/ ; https://www.mahindrauniversity.edu.in/about-us/board-of-management/ ; https://www.mahindrauniversity.edu.in/about-us/academic-council/ . Page contents were not extracted.,,,,,,,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,MU-007,,,
KN-0008,website,About,Partnerships,Global academic partners and graduate acceptances,Global academic partners and graduate acceptances,"About Us page states 20+ global academic partners (exchanges, dual degrees, joint research) and 250+ graduate acceptances for advanced studies at universities worldwide.",University collaborations page: https://www.mahindrauniversity.edu.in/collaborations-mous/ (not extracted).,,,,,,,SRC-W-01,https://www.mahindrauniversity.edu.in/about-us/,About Us - Mahindra University (MU),MU-008,,,
KN-0009,website,About,Faculty,Faculty strength and directory,Faculty strength and directory,Homepage states 350+ faculty. A Faculty Directory / Expertise Finder page exists.,Faculty directory URL: https://www.mahindrauniversity.edu.in/faculties/ (individual faculty records not extracted).,,,,,,,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,MU-009,,,
KN-0010,website,About,Leadership,Mission and purpose pages,Mission and purpose pages,The About Us page links to 'Our purpose' and 'Our mission' pages.,URLs: https://www.mahindrauniversity.edu.in/about-us/mission-vision/ ; https://www.mahindrauniversity.edu.in/about-us/purpose-mission/ . Contents not extracted.,,,,,,,SRC-W-01,https://www.mahindrauniversity.edu.in/about-us/,About Us - Mahindra University (MU),MU-010,,,
