source_id,source_type,title,url_or_reference,description,original_record_id,notes
SRC-W-01,website,About Us - Mahindra University (MU),https://www.mahindrauniversity.edu.in/about-us/,"Page on the official Mahindra University website, as recorded in the website dataset.",MU-001; MU-003; MU-004; MU-005; MU-006; MU-008; MU-010,7 website record(s) cite this page. Website dataset file: mahindra_university_dataset_cleaned.csv.
SRC-W-02,website,Mahindra University: Best Private University in Hyderabad,https://www.mahindrauniversity.edu.in/,"Page on the official Mahindra University website, as recorded in the website dataset.",MU-002; MU-007; MU-009; MU-011; MU-012; MU-013; MU-014; MU-015; MU-016; MU-017; MU-018; MU-019; MU-020; MU-021; MU-022; MU-023; MU-024; MU-025; MU-026; MU-027; MU-061; MU-062; MU-091; MU-114; MU-163; MU-164; MU-165; MU-166; MU-168; MU-169; MU-170; MU-171; MU-172; MU-173; MU-174; MU-175; MU-176; MU-177; MU-178; MU-179; MU-180; MU-190,42 website record(s) cite this page. Website dataset file: mahindra_university_dataset_cleaned.csv.
SRC-W-03,website,Under Graduate (UG) Programs - Mahindra University,https://www.mahindrauniversity.edu.in/under-graduate-programs/,"Page on the official Mahindra University website, as recorded in the website dataset.",MU-028; MU-029; MU-030; MU-031; MU-032; MU-033; MU-034; MU-035; MU-036; MU-037; MU-038; MU-039,12 website record(s) cite this page. Website dataset file: mahindra_university_dataset_cleaned.csv.
SRC-W-04,website,Post Graduate (PG) Programs - Mahindra University,https://www.mahindrauniversity.edu.in/post-graduate-programs/,"Page on the official Mahindra University website, as recorded in the website dataset.",MU-040; MU-041; MU-042; MU-043; MU-044; MU-045; MU-046; MU-047; MU-048; MU-049; MU-050; MU-051; MU-052; MU-053; MU-054; MU-055; MU-056; MU-057; MU-058; MU-059; MU-060; MU-080,22 website record(s) cite this page. Website dataset file: mahindra_university_dataset_cleaned.csv.
SRC-W-05,website,BTech Courses and Specializations List- Mahindra University,https://www.mahindrauniversity.edu.in/programs/b-tech/,"Page on the official Mahindra University website, as recorded in the website dataset.",MU-063; MU-064; MU-065; MU-066; MU-067; MU-068; MU-069; MU-070; MU-071; MU-072; MU-073; MU-074; MU-075; MU-076; MU-077; MU-078; MU-079; MU-081; MU-088,19 website record(s) cite this page. Website dataset file: mahindra_university_dataset_cleaned.csv.
SRC-W-06,website,B.Tech Fee Structure 2026 | Mahindra University,https://www.mahindrauniversity.edu.in/programs/b-tech/fee-structure/,"Page on the official Mahindra University website, as recorded in the website dataset.",MU-082; MU-083; MU-089,3 website record(s) cite this page. Website dataset file: mahindra_university_dataset_cleaned.csv.
SRC-W-07,website,B.Tech Eligibility Criteria - Mahindra University,https://www.mahindrauniversity.edu.in/programs/b-tech/eligibility-criteria/,"Page on the official Mahindra University website, as recorded in the website dataset.",MU-084; MU-085; MU-086; MU-087,4 website record(s) cite this page. Website dataset file: mahindra_university_dataset_cleaned.csv.
SRC-W-08,website,Eateries | Mahindra University,https://www.mahindrauniversity.edu.in/eateries/,"Page on the official Mahindra University website, as recorded in the website dataset.",MU-090; MU-103; MU-104; MU-105,4 website record(s) cite this page. Website dataset file: mahindra_university_dataset_cleaned.csv.
SRC-W-09,website,Contact Us - Mahindra University (MU),https://www.mahindrauniversity.edu.in/contact-us/,"Page on the official Mahindra University website, as recorded in the website dataset.",MU-092; MU-167; MU-181; MU-182; MU-183; MU-184; MU-185; MU-186; MU-187; MU-188; MU-189,11 website record(s) cite this page. Website dataset file: mahindra_university_dataset_cleaned.csv.
SRC-W-10,website,Our E-Library and Stocks - Mahindra University (MU),https://www.mahindrauniversity.edu.in/library/,"Page on the official Mahindra University website, as recorded in the website dataset.",MU-093; MU-094; MU-095; MU-096; MU-097; MU-098,6 website record(s) cite this page. Website dataset file: mahindra_university_dataset_cleaned.csv.
SRC-W-11,website,Residences | Mahindra University,https://www.mahindrauniversity.edu.in/residences/,"Page on the official Mahindra University website, as recorded in the website dataset.",MU-099; MU-100; MU-101; MU-102,4 website record(s) cite this page. Website dataset file: mahindra_university_dataset_cleaned.csv.
