id,group_id,instruction,response,tier,source_id,source_url,captured_at,verified_by,verified_at,legacy_id,notes
mu-000001,mu-000001,What is Mahindra University's tagline?,The tagline on the site is 'Global Thinkers. Engaged Leaders.',STATIC,SRC-W-01,https://www.mahindrauniversity.edu.in/about-us/,,,,QA001,
mu-000002,mu-000002,How does Mahindra University describe itself?,"It blends academic rigour, research and global exposure. The About page describes re-imagining growth-oriented education to empower global thinkers and engaged leaders through experiential learning, interdisciplinary research and real-world impact, and describes a green campus in Hyderabad with the spirit of 'Accepting No Limits'.",STATIC,SRC-W-01,https://www.mahindrauniversity.edu.in/about-us/,,,,QA002,
mu-000003,mu-000003,Where is Mahindra University located?,"Mahindra University, Survey No: 62/1A, Bahadurpally, Jeedimetla, Hyderabad - 500043, Telangana, India.",STATIC,SRC-W-09; SRC-W-01,https://www.mahindrauniversity.edu.in/contact-us/; https://www.mahindrauniversity.edu.in/about-us/,,,,QA003,
mu-000004,mu-000004,How can I contact Mahindra University?,"Landline 040-67135100; mobile +91 9618592999; WhatsApp 9121314154; alternative email info@mahindrauniversity.edu.in. The page also labels mahindrauni.hyd@gmail.com as the general enquiries email, but that link's mailto target is admissions@mahindrauniversity.edu.in.",STATIC,SRC-W-09,https://www.mahindrauniversity.edu.in/contact-us/,,,,QA004,draft stability_tag: Changes each term
mu-000005,mu-000005,Is there a virtual tour of the Mahindra University campus?,Yes. The site provides a Google Maps link and a 360-degree virtual campus tour: https://www.mahindrauniversity.edu.in/sites/virtual-tour-of-mu-campus.html,STATIC,SRC-W-09,https://www.mahindrauniversity.edu.in/contact-us/,,,,QA005,
mu-000006,mu-000006,How many students does Mahindra University have?,The homepage key figures state 6000+ students.,STATIC,SRC-W-02,https://www.mahindrauniversity.edu.in/,,,,QA006,draft stability_tag: Changes each term
mu-000007,mu-000007,What key figures does the Mahindra University homepage show?,"6000+ students, 4000+ placements to date, 400+ companies, 350+ faculty and 1500+ publications.",STATIC,SRC-W-02,https://www.mahindrauniversity.edu.in/,,,,QA007,draft stability_tag: Changes each term
mu-000008,mu-000008,How many faculty members does Mahindra University have?,The homepage states 350+ faculty. A Faculty Directory / Expertise Finder page exists at https://www.mahindrauniversity.edu.in/faculties/.,STATIC,SRC-W-02,https://www.mahindrauniversity.edu.in/,,,,QA008,Individual faculty records are not in the source (directory not extracted). | draft stability_tag: Changes each term
mu-000009,mu-000009,How many recruiters does Mahindra University have?,"The website gives different figures: the homepage shows 400+ recruiters, while the About Us page shows 100+ recruiters for the same statistic.",STATIC,SRC-W-02,https://www.mahindrauniversity.edu.in/,,,,QA009,"Conflict preserved, not resolved. | draft stability_tag: Changes each term"
mu-000010,mu-000010,What is Mahindra University's placement record?,"The homepage states 4000+ placements to date, 400+ companies and 250+ graduate acceptances for advanced study.",STATIC,SRC-W-02,https://www.mahindrauniversity.edu.in/,,,,QA010,draft stability_tag: Changes each term
mu-000011,mu-000011,What sets Mahindra University apart?,"Four differentiators are listed: global collaboration (partnerships with international institutions to co-design globally benchmarked programmes), interdisciplinary excellence (integrating engineering, management, law, design and the humanities), industry-aligned learning (internships, live projects and incubation opportunities), and research and societal impact (applied research, patents and partnerships).",STATIC,SRC-W-01,https://www.mahindrauniversity.edu.in/about-us/,,,,QA011,
mu-000012,mu-000012,What are Mahindra University's four pillars?,"Academic excellence, Student empowerment, Innovation ecosystem, and Inclusive excellence.",STATIC,SRC-W-01,https://www.mahindrauniversity.edu.in/about-us/,,,,QA012,
mu-000013,mu-000013,Who is the Chancellor of Mahindra University?,"Anand Mahindra, Chairman of the Mahindra Group, is the Chancellor.",STATIC,SRC-W-01,https://www.mahindrauniversity.edu.in/about-us/,,,,QA013,draft stability_tag: Changes each term
mu-000014,mu-000014,Who is the Vice-Chancellor of Mahindra University?,"Dr. Yajulu Medury is the Vice-Chancellor and founding vice-chancellor of Mahindra University, with over three decades of experience in higher education, research and institutional management.",STATIC,SRC-W-01,https://www.mahindrauniversity.edu.in/about-us/,,,,QA014,draft stability_tag: Changes each term
mu-000015,mu-000015,What leadership and governance pages does the Mahindra University website have?,"The site has pages for Founding team, Leadership, Governing Body, Board of Management and Academic Council.",STATIC,SRC-W-02,https://www.mahindrauniversity.edu.in/,,,,QA015,
mu-000016,mu-000016,How many global academic partners does Mahindra University have?,"The About Us page states 20+ global academic partners (exchanges, dual degrees, joint research) and 250+ graduate acceptances for advanced studies at universities worldwide.",STATIC,SRC-W-01; SRC-W-02,https://www.mahindrauniversity.edu.in/about-us/; https://www.mahindrauniversity.edu.in/,,,,QA016,draft stability_tag: Changes each term
mu-000017,mu-000017,What schools are part of Mahindra University?,Mahindra University has seven schools: Ecole Centrale School of Engineering; Indira Mahindra School of Education; School of Design Innovation; School of Digital Media and Communication; School of Hospitality Management; School of Law; School of Management.,STATIC,SRC-W-02,https://www.mahindrauniversity.edu.in/,,,,QA017,Answer keeps the source spelling 'Ecole' from MU-011; MU-012 spells it 'École'.
mu-000018,mu-000018,What programmes does the School of Law offer?,The source does not say. It lists the School of Law as one of the seven schools and notes that programme-to-school mapping is not stated on the pages accessed.,STATIC,SRC-W-02,https://www.mahindrauniversity.edu.in/,,,,QA018,Abstention-type answer: the source explicitly states the school-to-programme mapping is unavailable. Do not infer the mapping from programme names.
mu-000019,mu-000019,What centres does Mahindra University have?,Centre for Entrepreneurship and Innovation; Centre for Executive Education; Centre for Life Sciences; Centre for Sustainability; MU-VT Centre for Interdisciplinary Research in Transformative Technologies; Global Centre for Enterprise Risk Management; Bajaj Engineering Skills Training (BEST) Centre; and Centre for Language Learning and Development.,STATIC,SRC-W-02,https://www.mahindrauniversity.edu.in/,,,,QA019,
mu-000020,mu-000020,What is the Centre for Entrepreneurship and Innovation at Mahindra University?,"It is listed under Centres in the Academics menu. The homepage describes a Babson-partnered centre, a student-led E-Cell and a full incubation hub.",STATIC,SRC-W-02,https://www.mahindrauniversity.edu.in/,,,,QA020,
mu-000021,mu-000021,What is the Centre for Language Learning and Development?,"Mahindra University unveiled the Centre for Language Learning and Development and hosted an experiential storytelling workshop for teachers, according to a homepage news item.",STATIC,SRC-W-02,https://www.mahindrauniversity.edu.in/,,,,QA021,"Stability unclear: the only source is a homepage news item, so it is unclear whether this is a permanent centre description or a time-bound news fact. | draft stability_tag: Needs review"
mu-000022,mu-000022,How can I contact the Centre for Executive Education?,Executive Education is run by the Centre for Executive Education. Contact: executive.education@mahindrauniversity.edu.in; +91 9059538001.,STATIC,SRC-W-02; SRC-W-09,https://www.mahindrauniversity.edu.in/; https://www.mahindrauniversity.edu.in/contact-us/,,,,QA022,draft stability_tag: Changes each term
mu-000023,mu-000023,What executive and working professional programmes does Mahindra University offer?,"The source lists Executive Education (run by the Centre for Executive Education), Working Professional Programmes (listed under Admissions > Programmes), and a B.Tech in Civil Engineering for Working Professionals (listed among B.Tech specialisations).",STATIC,SRC-W-02; SRC-W-05,https://www.mahindrauniversity.edu.in/; https://www.mahindrauniversity.edu.in/programs/b-tech/,,,,QA023,
mu-000024,mu-000024,What undergraduate programmes does Mahindra University offer?,11 undergraduate programmes are listed: B.A. LL.B. (Honours); B.A. in Journalism & Mass Communication (BJMC); BBA; BBA in Entrepreneurship & Family Business; BBA LL.B. (Honours); B.Des; B.Tech; B.Tech in Computation & Media; B.Tech. - LL.B. (Honours); 4-year BBA (honours) in Hospitality Management; Bachelor of Architecture (B. Arch).,STATIC,SRC-W-03,https://www.mahindrauniversity.edu.in/under-graduate-programs/,,,,QA024,
mu-000025,mu-000025,What postgraduate programmes does Mahindra University offer?,11 postgraduate programmes are listed: 3 Years LL.B.; 5-year Integrated M.Tech in Biotechnology; M.A. in Education; M.A. in Journalism and Mass Communication; MBA; Masters in Design Innovation; M.Sc. Biotechnology (Biologics); M.Sc. by Research in Biotherapeutics; M.Tech; M.Tech in Biomedical Data Science; M.Tech in Sustainability.,STATIC,SRC-W-04,https://www.mahindrauniversity.edu.in/post-graduate-programs/,,,,QA025,
